ano;tamanho_estabelecimento;descricao_secao_cnae;size
2020;De 5 a 9;"Comércio; reparação de veículos automotores e motocicletas";111
2020;De 5 a 9;Construção;23
2020;De 5 a 9;Educação;12
2020;De 5 a 9;Indústrias de transformação;62
2020;De 5 a 9;Informação e comunicação;11
2020;De 5 a 9;Outras atividades de serviços;14
2020;De 5 a 9;Saúde humana e serviços sociais;21
2020;De 5 a 9;Transporte, armazenagem e correio;15
2020;De 5 a 9;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
2020;De 50 a 99;Administração pública, defesa e seguridade social;1
2020;De 50 a 99;Alojamento e alimentação;4
2020;De 50 a 99;Artes, cultura, esporte e recreação;2
2020;De 50 a 99;Atividades administrativas e serviços complementares;10
2020;De 50 a 99;Atividades financeiras, de seguros e serviços relacionados;3
2020;De 50 a 99;Atividades imobiliárias;1
2020;De 50 a 99;Atividades profissionais, científicas e técnicas;7
2020;De 50 a 99;"Comércio; reparação de veículos automotores e motocicletas";33
2020;De 50 a 99;Construção;7
2020;De 50 a 99;Educação;7
2020;De 50 a 99;Indústrias de transformação;36
2020;De 50 a 99;Informação e comunicação;3
2020;De 50 a 99;Outras atividades de serviços;5
2020;De 50 a 99;Saúde humana e serviços sociais;8
2020;De 50 a 99;Transporte, armazenagem e correio;12
2020;De 50 a 99;Água, esgoto, atividades de gestão de resíduos e descontaminação;1
2020;De 500 a 999;Atividades administrativas e serviços complementares;1
2020;De 500 a 999;Atividades financeiras, de seguros e serviços relacionados;2
2020;De 500 a 999;"Comércio; reparação de veículos automotores e motocicletas";4
2020;De 500 a 999;Educação;1
2020;De 500 a 999;Indústrias de transformação;2
2020;De 500 a 999;Informação e comunicação;2
2020;De 500 a 999;Saúde humana e serviços sociais;2
2020;De 500 a 999;Água, esgoto, atividades de gestão de resíduos e descontaminação;1
2020;Zero;Administração pública, defesa e seguridade social;3
2020;Zero;Agricultura, pecuária, produção florestal, pesca e aquicultura;9
2020;Zero;Alojamento e alimentação;12
2020;Zero;Artes, cultura, esporte e recreação;21
2020;Zero;Atividades administrativas e serviços complementares;43
2020;Zero;Atividades financeiras, de seguros e serviços relacionados;28
2020;Zero;Atividades imobiliárias;6
2020;Zero;Atividades profissionais, científicas e técnicas;34
2020;Zero;"Comércio; reparação de veículos automotores e motocicletas";182
2020;Zero;Construção;37
2020;Zero;Educação;21
2020;Zero;Eletricidade e gás;4
2020;Zero;Indústrias de transformação;159
2020;Zero;Indústrias extrativas;1
2020;Zero;Informação e comunicação;40
2020;Zero;Outras atividades de serviços;27
2020;Zero;Saúde humana e serviços sociais;33
2020;Zero;Serviços domésticos;1
2020;Zero;Transporte, armazenagem e correio;30
2020;Zero;Água, esgoto, atividades de gestão de resíduos e descontaminação;10
2021;1000 ou mais;Administração pública, defesa e seguridade social;1
2021;1000 ou mais;Atividades administrativas e serviços complementares;4
2021;1000 ou mais;Atividades financeiras, de seguros e serviços relacionados;1
2021;1000 ou mais;Atividades profissionais, científicas e técnicas;1
2021;1000 ou mais;"Comércio; reparação de veículos automotores e motocicletas";3
2021;1000 ou mais;Informação e comunicação;2
2021;1000 ou mais;Saúde humana e serviços sociais;1
2021;1000 ou mais;Transporte, armazenagem e correio;3
2021;Ate 4;Administração pública, defesa e seguridade social;1
2021;Ate 4;Agricultura, pecuária, produção florestal, pesca e aquicultura;1
2021;Ate 4;Alojamento e alimentação;11
2021;Ate 4;Artes, cultura, esporte e recreação;8
2021;Ate 4;Atividades administrativas e serviços complementares;33
2021;Ate 4;Atividades financeiras, de seguros e serviços relacionados;16
2021;Ate 4;Atividades imobiliárias;5
2021;Ate 4;Atividades profissionais, científicas e técnicas;22
2021;Ate 4;"Comércio; reparação de veículos automotores e motocicletas";143
