ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2022;12;Educação;-305;20072102.55999999
2021;6;Outras Atividades De Serviços;-28;182792.53
2020;1;Atividades Financeiras, De Seguros E Serviços Relacionados;29;1029893.06
2020;4;Outras Atividades De Serviços;-48;91842.97000000003
2010;9;Organismos Internacionais E Outras Instituições Extraterritoriais;12;31200.0
2024;1;Atividades Profissionais, Científicas E Técnicas;63;4617351.150000002
2020;3;Educação;63;2325464.5900000012
2014;12;Outras Atividades De Serviços;-38;240816.0
2020;5;Atividades Administrativas E Serviços Complementares;-200;2542417.530000021
2022;5;Atividades Financeiras, De Seguros E Serviços Relacionados;4;381679.0000000001
2022;10;Alojamento E Alimentação;78;1351233.1200000015
2014;2;Administração Pública, Defesa E Seguridade Social;208;707025.33
2020;7;Indústrias De Transformação;-33;2224426.0500000017
2024;11;Atividades Administrativas E Serviços Complementares;58;6037345.489999985
2023;1;Saúde Humana E Serviços Sociais;131;980428.3299999996
2020;2;Construção;66;1424275.059999999
2014;8;Indústrias De Transformação;-100;2578214.26
2010;9;Atividades Financeiras, De Seguros E Serviços Relacionados;36;480299.99
2021;10;Artes, Cultura, Esporte E Recreação;6;82871.71999999999
2021;11;Atividades Financeiras, De Seguros E Serviços Relacionados;9;328558.0300000001
2014;12;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;15;101722.0
2021;3;Transporte, Armazenagem E Correio;578;3208812.2100000107
2011;3;Atividades Profissionais, Científicas E Técnicas;-32;229927.14
2021;10;Outras Atividades De Serviços;7;215295.29999999996
2014;1;Artes, Cultura, Esporte E Recreação;14;54661.0
2012;8;Educação;143;651630.2
2020;2;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;6;89841.21999999997
2024;11;Construção;-60;3215704.269999999
2020;3;Transporte, Armazenagem E Correio;-398;2299758.6200000066
2020;4;Construção;-100;1390269.7100000014
2021;5;Artes, Cultura, Esporte E Recreação;11;64546.25
2021;10;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;13;78477.01
2020;10;Alojamento E Alimentação;111;866229.5000000002
2022;2;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;3;108434.29000000004
2021;1;Atividades Administrativas E Serviços Complementares;-171;5479035.959999966
2024;5;Saúde Humana E Serviços Sociais;-7;1598519.5700000005
2020;2;Artes, Cultura, Esporte E Recreação;19;1139151.81
2014;2;Outras Atividades De Serviços;-82;211186.76
2020;8;Atividades Administrativas E Serviços Complementares;320;3560170.9899999974
2020;12;Informação E Comunicação;118;667311.4300000004
2024;5;Atividades Profissionais, Científicas E Técnicas;44;4739545.29
2021;10;Atividades Administrativas E Serviços Complementares;990;7735059.18999987
2012;2;Transporte, Armazenagem E Correio;43;1060371.74
2021;5;Construção;203;2185066.2799999868
2020;2;Atividades Imobiliárias;-3;91760.71
2010;8;Saúde Humana E Serviços Sociais;15;160489.85
2020;7;Atividades Profissionais, Científicas E Técnicas;134;2276824.8799999994
2022;3;Atividades Imobiliárias;-5;101657.15999999999
2022;1;Artes, Cultura, Esporte E Recreação;13;154853.35
2020;7;Outras Atividades De Serviços;-6;143094.35
