cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1270473441;5;1.0
1270473956;5;1.0
1270474332;3;1.0
1270475908;4;2.0
1270477609;5;3.0
1270478753;4;2.0
1270478834;8;5.0
1270482432;5;4.0
1271091100;9;5.0
1271092697;7;4.0
1271094550;2;2.0
1271094800;5;3.0
1271095017;4;3.0
1271095289;4;3.0
1271095360;5;4.0
1271095440;5;7.0
1271095602;6;3.0
1271097060;5;3.0
1271097737;4;3.0
1271097907;6;4.0
1271098032;6;4.0
1271098385;9;8.0
1287587160;4;1.0
1288859805;6;3.0
1288859988;8;4.0
1288860137;4;4.0
1298079900;6;5.0
1298080320;6;6.0
1298080673;3;3.0
1298081807;3;2.0
1298082021;8;1.0
1298083346;9;3.0
1300642467;3;1.0
1301570583;5;3.0
1305564758;4;4.0
1318316820;3;3.0
1322466351;6;1.0
1322501521;9;3.0
1329166221;9;2.0
1331660408;4;4.0
1331697409;3;2.0
1340298520;6;3.0
1340569906;8;7.0
1340571129;5;5.0
1340571471;5;4.0
1340571803;2;2.0
1340572109;7;6.0
1340575701;3;3.0
1340576350;6;5.0
1340576783;9;8.0
1340578131;7;5.0
1340585421;6;5.0
1340585774;6;5.0
1340585936;2;1.0
1340589257;3;2.0
1340589761;5;2.0
1340961695;2;2.0
1342534506;4;3.0
1353268934;2;2.0
1371871906;3;3.0
1379961440;5;4.0
1380381711;6;3.0
1380384060;5;5.0
1380384737;7;4.0
1380385890;6;2.0
1380386357;2;2.0
1380386438;5;2.0
1380386780;5;4.0
1380387752;3;2.0
1380387833;5;2.0
1380389534;8;3.0
1380391350;5;3.0
1380391865;10;3.0
1393821782;10;4.0
1403036853;2;2.0
1403169497;2;5.0
1404135103;8;6.0
1404136266;4;2.0
1404136690;7;3.0
1404138200;11;5.0
1414732236;3;3.0
1414732740;5;2.0
1414733399;5;3.0
1414735090;3;1.0
1404140379;11;5.0
1404142827;5;3.0
1404144609;7;5.0
1404144951;7;3.0
1404145257;4;2.0
1404146490;2;1.0
1404147624;4;2.0
1404148868;7;2.0
1404150846;2;2.0
1404151575;7;6.0
1404152547;7;8.0
1404152970;7;6.0
1404153004;10;7.0
1404154590;5;2.0
1404155309;5;3.0
1404155562;8;5.0
1404156372;3;1.0
1404157425;12;9.0
1404157778;2;1.0
1404157859;6;3.0
1404159045;6;1.0
1406776076;5;4.0
1406776238;6;4.0
1406793590;4;
1406795372;5;2.0
1406795453;9;6.0
1406797154;4;2.0
1406797316;5;3.0
1407815792;10;6.0
1407815954;5;2.0
1407817493;4;3.0
1407817655;10;8.0
1407817906;8;8.0
1407818546;10;4.0
1407818899;10;8.0
1407822659;6;1.0
1407824007;4;2.0
1407825321;4;2.0
1407826565;7;4.0
1407826646;6;6.0
1407829157;3;3.0
1407829661;6;3.0
1407830406;6;3.0
1407830597;6;6.0
1407831135;5;2.0
1407831569;6;2.0
1407831801;4;4.0
1407833006;4;3.0
1407834312;6;2.0
1407834584;7;2.0
1407835122;9;6.0
1407835394;9;3.0
1407836951;9;3.0
1407838067;6;4.0
1407838229;4;5.0
1407839039;4;3.0
1407839705;6;3.0
1407840126;5;1.0
1407840207;5;2.0
1407842501;4;2.0
1407842765;5;2.0
1407845004;2;5.0
1407845357;4;4.0
1407845861;4;4.0
1407847996;6;5.0
1407850199;4;1.0
1407850865;4;3.0
1407852302;10;6.0
1407853961;7;4.0
1407855743;8;3.0
1407857606;6;3.0
1407860232;4;4.0
1407860747;5;3.0
1412364183;9;6.0
1412365074;4;3.0
1412365740;8;4.0
1412366399;10;6.0
1412366631;5;1.0
1412367107;6;4.0
1412367360;7;3.0
1412368090;6;3.0
1412368685;5;5.0
1412369657;5;3.0
1412369908;4;3.0
1412370230;6;3.0
1412371988;10;8.0
1412372445;9;10.0
1414729952;11;7.0
1414738439;11;1.0
1414738781;6;3.0
1414739591;9;3.0
1414740174;8;4.0
1414740689;7;5.0
1414741812;3;2.0
1414743009;3;3.0
1414744323;6;3.0
1414745648;4;1.0
1414746610;5;1.0
1414747500;5;4.0
1414748663;4;2.0
1414749120;9;1.0
1414751451;4;2.0
1414752008;6;3.0
1414752504;3;1.0
1414753152;5;4.0
1414754710;3;2.0
1414755015;4;2.0
1414756500;12;4.0
1414756844;4;2.0
1414758979;9;1.0
1414760442;4;2.0
1414760876;5;4.0
1414761767;5;3.0
1414761848;7;3.0
1414762810;8;4.0
1414763115;10;1.0
1414764510;7;4.0
1414764600;6;5.0
1414764863;4;3.0
1414765088;7;5.0
1414766050;4;2.0
1414766483;5;4.0
1414767617;3;2.0
1414768427;10;3.0
1414769407;4;2.0
1414769580;7;4.0
1418447951;3;3.0
1418448176;7;4.0
1418448257;5;4.0
1418449652;4;2.0
1414771053;4;2.0
1414771649;4;2.0
1414772378;4;3.0
1414772459;5;1.0
1414773340;9;4.0
1418418188;8;3.0
1418420166;6;4.0
1418421642;8;2.0
1418421723;3;4.0
1418422029;4;2.0
1418422100;8;2.0
1418422967;5;2.0
1418424587;2;1.0
1418425206;3;2.0
1418425559;2;2.0
1418430803;7;2.0
1418431010;3;3.0
1418431362;6;4.0
1418431524;11;7.0
1418431605;10;5.0
1418431958;6;3.0
1418434540;10;3.0
1418434973;3;3.0
1418435279;3;2.0
1418437484;5;4.0
1418439851;2;4.0
1418440000;6;3.0
1418440949;7;2.0
1418441406;6;2.0
