ano;municipio_codigo;municipio;pib_deflacionado_osasco;ipca_normalizado;pib_deflacionado_sp;participacao_pib_sp
2009;3547809;Santo André (SP);32078512.839315362;0.4930063958768461;2286164713.939229;0.014031584270252225
2010;3547809;Santo André (SP);36703560.68853112;0.5221430738731677;2479580890.341353;0.014802324389376266
2011;3547809;Santo André (SP);39096454.10323568;0.5560823736749235;2583560956.096506;0.015132777885878251
2012;3547809;Santo André (SP);40510883.95786677;0.5885575842975391;2648905537.188434;0.01529344228743819
2013;3547809;Santo André (SP);42868581.611971736;0.6233413375295236;2751684051.3064165;0.015579034806564739
2014;3547809;Santo André (SP);40315929.58504861;0.6632975172651661;2801451847.221599;0.014391084260481867
2015;3547809;Santo André (SP);34583750.71120289;0.7340713623573594;2642661199.5464554;0.013086713770625723
2016;3547809;Santo André (SP);34396117.73450814;0.7802444510496372;2612972612.9513984;0.01316359672658686
2017;3547809;Santo André (SP);34694965.91966369;0.8032616623556016;2640187792.3325377;0.013141097773583592
2018;3547809;Santo André (SP);34790785.37675048;0.8333839746939367;2652513146.5502887;0.013116159451272633
2019;3547809;Santo André (SP);34874650.30929984;0.8693028240032452;2701403855.08656;0.012909824735621534
2020;3547809;Santo André (SP);31321378.8748;0.9085953116481919;2616829461.388;0.011969209051241244
2021;3547809;Santo André (SP);32620295.0;1.0;2719751231.0;0.011993852462751215
