cod_familiar_fam;qtd_comodos_domic_fam
1530395666;2.0
1530395747;4.0
1530395909;4.0
1530396395;3.0
1530398924;3.0
1530403359;5.0
1530408822;4.0
1530410991;5.0
1530411025;3.0
1530411882;4.0
1538144034;4.0
1540318443;5.0
1541151186;4.0
1541151348;3.0
1542670314;5.0
1542672104;5.0
1542672287;5.0
1542674069;3.0
1542674220;3.0
1542676436;2.0
1542676789;5.0
1544013310;3.0
1544417403;5.0
1546859500;3.0
1548208140;3.0
1552886956;4.0
1552887332;4.0
1554458200;3.0
1554491924;3.0
1557099090;3.0
1557327815;5.0
1559418796;5.0
1560197447;5.0
1560197528;2.0
1561767859;3.0
1561848182;3.0
1563752735;3.0
1563753200;4.0
1563753464;4.0
1563753626;5.0
1563754789;5.0
1563755670;5.0
1563755750;5.0
1563755831;3.0
1563756803;5.0
1563756994;2.0
1563757028;3.0
1563759071;3.0
1563759748;3.0
1563759900;5.0
1563761726;1.0
1563762536;4.0
1563763699;3.0
1563763850;3.0
1567255507;6.0
1567915442;4.0
1570433046;3.0
1571652647;4.0
1571674373;4.0
1574838784;2.0
1574839080;3.0
1574839594;5.0
1576288170;2.0
1576289303;6.0
1576289494;7.0
1576291553;5.0
1576291715;5.0
1576292606;5.0
1576292797;3.0
1576293505;5.0
1576293920;3.0
1576294064;4.0
1576294900;3.0
1576295117;2.0
1576295206;5.0
1576295540;4.0
1576296270;3.0
1576298302;5.0
1576301885;4.0
1576303829;4.0
1576304043;3.0
1576304477;5.0
1576304809;3.0
1576305104;4.0
1576305368;4.0
1576307069;5.0
1576307573;5.0
1576308111;5.0
1576308626;3.0
1576308707;3.0
1576309436;3.0
1576312739;5.0
1576314006;5.0
1576314944;5.0
1576315592;4.0
1576315673;2.0
1576315916;5.0
1576318699;3.0
1576318931;2.0
1576319903;5.0
1576320677;3.0
1576320839;3.0
1576321304;2.0
1576353761;3.0
1576353923;3.0
1576355896;4.0
1576356000;5.0
1576356191;4.0
1576357406;3.0
1576357597;4.0
1576357678;3.0
1576357759;4.0
1576358054;4.0
1576358135;3.0
1576325040;3.0
1576326365;3.0
1576326446;4.0
1576326799;5.0
1576327337;2.0
1576327418;3.0
1576327507;3.0
1576327841;3.0
1576327922;5.0
1576328228;4.0
1576328732;5.0
1576329542;4.0
1576330044;4.0
1576330559;3.0
1576331792;4.0
1576332330;5.0
1576332411;5.0
1576333655;4.0
1576334384;2.0
1576334708;4.0
1576337057;3.0
1576337480;3.0
1576337561;3.0
1576338100;5.0
1576339343;5.0
1576339424;5.0
1576340350;5.0
1576341089;4.0
1576341402;3.0
1576342301;5.0
1576344347;4.0
1576344690;3.0
1576345076;4.0
1576345661;2.0
1576345904;3.0
1576346986;3.0
1576347362;5.0
1576347443;3.0
1576347958;7.0
1576349063;5.0
1576349900;3.0
1576350827;5.0
1576350908;4.0
1576352870;1.0
1576353508;5.0
1576360113;3.0
1576360202;3.0
1576361276;5.0
1576362086;2.0
1576362590;4.0
1576364020;2.0
1576365182;4.0
1576365506;8.0
1576365697;3.0
1576365778;4.0
1576366669;5.0
