ano;descricao_secao_cnae;quantidade_vinculos_ativos
2021;Educação;5982
2021;Eletricidade e gás;5
2021;Indústrias de transformação;15316
2021;Indústrias extrativas;4
2021;Informação e comunicação;7421
2021;Outras atividades de serviços;2548
2021;Saúde humana e serviços sociais;5133
2021;Serviços domésticos;0
2021;Transporte, armazenagem e correio;17785
2021;Água, esgoto, atividades de gestão de resíduos e descontaminação;888
2022;Administração pública, defesa e seguridade social;17075
2022;Agricultura, pecuária, produção florestal, pesca e aquicultura;77
2022;Alojamento e alimentação;7164
2022;Artes, cultura, esporte e recreação;765
2022;Atividades administrativas e serviços complementares;25817
2022;Atividades financeiras, de seguros e serviços relacionados;18325
2022;Atividades imobiliárias;575
2022;Atividades profissionais, científicas e técnicas;11145
2022;"Comércio; reparação de veículos automotores e motocicletas";47831
2022;Construção;7438
2022;Educação;7213
2022;Eletricidade e gás;2
2022;Indústrias de transformação;16523
2022;Indústrias extrativas;4
2022;Informação e comunicação;7667
2022;Outras atividades de serviços;2372
2022;Saúde e serviços sociais;1
2022;Saúde humana e serviços sociais;6859
2022;Serviços domésticos;0
2022;Transporte, armazenagem e correio;20575
2022;Água, esgoto, atividades de gestão de resíduos e descontaminação;1026
2023;Administração pública, defesa e seguridade social;18749
2023;Agricultura, pecuária, produção florestal, pesca e aquicultura;52
2023;Alojamento e alimentação;7427
2023;Artes, cultura, esporte e recreação;807
2023;Atividades administrativas e serviços complementares;23950
2023;Atividades financeiras, de seguros e serviços relacionados;19172
2023;Atividades imobiliárias;580
2023;Atividades profissionais, científicas e técnicas;10298
2023;"Comércio; reparação de veículos automotores e motocicletas";50130
2023;Construção;8095
2023;Educação;11867
2023;Eletricidade e gás;0
2023;Indústrias de transformação;16405
2023;Indústrias extrativas;3
2023;Informação e comunicação;8201
2023;Outras atividades de serviços;2563
2023;Saúde e serviços sociais;1
2023;Saúde humana e serviços sociais;8845
2023;Serviços domésticos;0
2023;Transporte, armazenagem e correio;27439
2023;Água, esgoto, atividades de gestão de resíduos e descontaminação;979
2024;Administração pública, defesa e seguridade social;0
2024;Agricultura, pecuária, produção florestal, pesca e aquicultura;40
2024;Alojamento e alimentação;8278
2024;Artes, cultura, esporte e recreação;748
2024;Atividades administrativas e serviços complementares;21764
2024;Atividades financeiras, de seguros e serviços relacionados;20583
2024;Atividades imobiliárias;585
2024;Atividades profissionais, científicas e técnicas;11217
2024;"Comércio; reparação de veículos automotores e motocicletas";50502
2024;Construção;8459
2024;Educação;6801
2024;Eletricidade e gás;0
2024;Indústrias de transformação;17230
2024;Indústrias extrativas;3
2024;Informação e comunicação;9252
2024;Outras atividades de serviços;2924
2024;Saúde humana e serviços sociais;8685
2024;Serviços domésticos;0
2024;Transporte, armazenagem e correio;37403
2024;Água, esgoto, atividades de gestão de resíduos e descontaminação;970
