ano;cnae_2_descricao_secao;variable;media_idade
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;34.67323943661972
2023;Artes, Cultura, Esporte E Recreação;Admissões;30.071739130434782
2010;Indústrias De Transformação;Demissões;31.77378954163977
2012;Educação;Admissões;29.827622748145533
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;23.949526813880126
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;35.42857142857143
2012;Informação E Comunicação;Demissões;30.851063829787233
2012;Atividades Administrativas E Serviços Complementares;Admissões;29.28692483687823
2014;Artes, Cultura, Esporte E Recreação;Admissões;29.47129909365559
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;29.668252282862603
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;29.636363636363637
2014;Administração Pública, Defesa E Seguridade Social;Demissões;41.77508004268943
2020;Educação;Demissões;37.64597544338336
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;33.93076374018558
2024;Alojamento E Alimentação;Demissões;29.909173643975247
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;29.58028616852146
2012;Transporte, Armazenagem E Correio;Demissões;33.27079466846634
2024;Informação E Comunicação;Admissões;30.864663653283703
2014;Educação;Admissões;27.986945169712794
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;29.605263157894736
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;34.788059701492536
2020;Administração Pública, Defesa E Seguridade Social;Demissões;44.85087719298246
2021;Transporte, Armazenagem E Correio;Demissões;34.635692956262076
2012;Transporte, Armazenagem E Correio;Admissões;32.6123293973317
2023;Transporte, Armazenagem E Correio;Admissões;31.046752007632982
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;34.18090452261306
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.383514117084065
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;30.366666666666667
2020;Atividades Profissionais, Científicas E Técnicas;Demissões;30.687205819426616
2014;Outras Atividades De Serviços;Admissões;32.25847457627118
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;24.123865456486918
2023;Educação;Demissões;37.225071225071225
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;29.24
2020;Indústrias De Transformação;Admissões;32.907616167170744
2012;Atividades Administrativas E Serviços Complementares;Demissões;29.86221950580634
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.852869463954292
2014;Atividades Profissionais, Científicas E Técnicas;Demissões;30.890461997019376
2022;Transporte, Armazenagem E Correio;Admissões;33.400878293601004
2022;Atividades Administrativas E Serviços Complementares;Demissões;31.65102587604879
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;28.575723199092455
2020;Saúde Humana E Serviços Sociais;Demissões;33.30883444691908
2010;Atividades Imobiliárias;Demissões;32.15432098765432
2023;Informação E Comunicação;Admissões;30.39993666877771
2020;Outras Atividades De Serviços;Admissões;33.195945945945944
2010;Atividades Administrativas E Serviços Complementares;Demissões;29.326685934489404
2011;Artes, Cultura, Esporte E Recreação;Admissões;26.028070175438597
2024;Indústrias De Transformação;Demissões;34.91616660783622
2024;Saúde Humana E Serviços Sociais;Admissões;29.592231151932644
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;31.175977653631286
2023;Artes, Cultura, Esporte E Recreação;Demissões;31.463659147869674
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;40.285714285714285
2012;Construção;Demissões;33.28034767236299
2014;Atividades Administrativas E Serviços Complementares;Admissões;29.175746091899573
2012;Administração Pública, Defesa E Seguridade Social;Admissões;42.183051969546504
2022;Indústrias De Transformação;Admissões;33.20645928274222
2014;Atividades Imobiliárias;Admissões;30.302839116719245
2021;Construção;Admissões;35.30778048431007
2011;Alojamento E Alimentação;Demissões;30.0658159838818
2021;Indústrias Extrativas;Admissões;31.0
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.545712578428443
2021;Administração Pública, Defesa E Seguridade Social;Admissões;34.12903225806452
2022;Saúde Humana E Serviços Sociais;Demissões;33.4171142141067
2025;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;31.735621072982116
2008;Indústrias De Transformação;Admissões;29.214633537270572
2016;Educação;Demissões;33.45888704318937
2025;Indústrias De Transformação;Admissões;33.14807783578548
2009;Construção;Admissões;34.077028081123245
2008;Administração Pública, Defesa E Seguridade Social;Admissões;39.79173838209983
2016;Construção;Admissões;34.17343555739743
2008;Atividades Administrativas E Serviços Complementares;Admissões;30.35675113464448
2009;Transporte, Armazenagem E Correio;Admissões;31.660575427682737
2009;Atividades Profissionais, Científicas E Técnicas;Admissões;29.459783913565428
2013;Construção;Demissões;32.90228389708008
2016;Outras Atividades De Serviços;Demissões;35.65928659286593
2013;Atividades Administrativas E Serviços Complementares;Demissões;31.454716658106488
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;25.0
2025;Alojamento E Alimentação;Admissões;30.137570188871873
2009;Alojamento E Alimentação;Admissões;28.50127365356623
2009;Atividades Administrativas E Serviços Complementares;Admissões;29.617926284437825
2009;Saúde Humana E Serviços Sociais;Demissões;31.74376199616123
2016;Saúde Humana E Serviços Sociais;Demissões;32.67089947089947
2025;Alojamento E Alimentação;Demissões;30.130459126539755
2009;Saúde Humana E Serviços Sociais;Admissões;29.726981585268213
2008;Indústrias De Transformação;Demissões;31.76459535632801
2016;Outras Atividades De Serviços;Admissões;32.445169712793735
2025;Atividades Administrativas E Serviços Complementares;Admissões;33.52956115400244
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;28.75324109380107
2013;Saúde Humana E Serviços Sociais;Admissões;30.03060712493728
2007;;Admissões;30.30385249587768
2025;Informação E Comunicação;Demissões;33.17476149176063
2013;Educação;Demissões;32.06753990994679
2013;Saúde Humana E Serviços Sociais;Demissões;32.25505188421628
2025;Artes, Cultura, Esporte E Recreação;Demissões;30.725806451612904
2016;Indústrias De Transformação;Demissões;35.28492678725237
2025;Artes, Cultura, Esporte E Recreação;Admissões;31.636363636363637
2008;Atividades Profissionais, Científicas E Técnicas;Demissões;28.446153846153845
2013;Transporte, Armazenagem E Correio;Admissões;31.75939419917131
